[INFO ] 2017-09-06 16:43:22,565 --pool-1-thread-1-- [com.avalon.ms.schedule.task.service.PrintService] print task start! 
[INFO ] 2017-09-06 16:43:23,119 --pool-2-thread-1-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/city/code HTTP/1.1 
[INFO ] 2017-09-06 16:43:28,388 --pool-2-thread-1-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-06 16:43:28,389 --pool-2-thread-1-- [com.avalon.ms.schedule.task.service.PrintService] http response 200 
[INFO ] 2017-09-06 16:43:28,403 --pool-2-thread-1-- [com.avalon.ms.schedule.task.service.PrintService] http response content {city:0} 
[INFO ] 2017-09-06 16:47:11,722 --pool-1-thread-1-- [com.avalon.ms.schedule.task.service.PrintService] print task start! size 3 
[INFO ] 2017-09-06 16:47:11,951 --pool-2-thread-1-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/city/code HTTP/1.1 
[INFO ] 2017-09-06 16:47:17,015 --pool-2-thread-1-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-06 16:47:17,016 --pool-2-thread-1-- [com.avalon.ms.schedule.task.service.PrintService] http response 200 
[INFO ] 2017-09-06 16:47:17,016 --pool-2-thread-1-- [com.avalon.ms.schedule.task.service.PrintService] http response content {city:0} 
[INFO ] 2017-09-06 16:48:07,195 --pool-1-thread-1-- [com.avalon.ms.schedule.task.service.PrintService] print task start! size 3 
[INFO ] 2017-09-06 16:48:07,436 --pool-2-thread-2-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/city/code HTTP/1.1 
[INFO ] 2017-09-06 16:48:07,436 --pool-2-thread-1-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/city/code HTTP/1.1 
[INFO ] 2017-09-06 16:48:07,436 --pool-2-thread-3-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/city/code HTTP/1.1 
[INFO ] 2017-09-06 16:48:12,506 --pool-2-thread-2-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-06 16:48:12,506 --pool-2-thread-1-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-06 16:48:12,506 --pool-2-thread-3-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-06 16:48:12,506 --pool-2-thread-2-- [com.avalon.ms.schedule.task.service.PrintService] http response 200 
[INFO ] 2017-09-06 16:48:12,506 --pool-2-thread-1-- [com.avalon.ms.schedule.task.service.PrintService] http response 200 
[INFO ] 2017-09-06 16:48:12,506 --pool-2-thread-3-- [com.avalon.ms.schedule.task.service.PrintService] http response 200 
[INFO ] 2017-09-06 16:48:12,506 --pool-2-thread-2-- [com.avalon.ms.schedule.task.service.PrintService] http response content {city:1} 
[INFO ] 2017-09-06 16:48:12,506 --pool-2-thread-1-- [com.avalon.ms.schedule.task.service.PrintService] http response content {city:0} 
[INFO ] 2017-09-06 16:48:12,506 --pool-2-thread-3-- [com.avalon.ms.schedule.task.service.PrintService] http response content {city:2} 
[INFO ] 2017-09-06 16:48:12,507 --pool-1-thread-1-- [com.avalon.ms.schedule.task.service.PrintService] print task end! 
[INFO ] 2017-09-06 16:48:41,746 --pool-1-thread-1-- [com.avalon.ms.schedule.task.service.PrintService] print task start! size 5 
[INFO ] 2017-09-06 16:48:41,976 --pool-2-thread-2-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/city/code HTTP/1.1 
[INFO ] 2017-09-06 16:48:41,976 --pool-2-thread-4-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/city/code HTTP/1.1 
[INFO ] 2017-09-06 16:48:41,976 --pool-2-thread-1-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/city/code HTTP/1.1 
[INFO ] 2017-09-06 16:48:41,976 --pool-2-thread-3-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/city/code HTTP/1.1 
[INFO ] 2017-09-06 16:48:47,045 --pool-2-thread-4-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-06 16:48:47,046 --pool-2-thread-2-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-06 16:48:47,046 --pool-2-thread-1-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-06 16:48:47,046 --pool-2-thread-3-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-06 16:48:47,046 --pool-2-thread-4-- [com.avalon.ms.schedule.task.service.PrintService] http response 200 
[INFO ] 2017-09-06 16:48:47,046 --pool-2-thread-2-- [com.avalon.ms.schedule.task.service.PrintService] http response 200 
[INFO ] 2017-09-06 16:48:47,046 --pool-2-thread-1-- [com.avalon.ms.schedule.task.service.PrintService] http response 200 
[INFO ] 2017-09-06 16:48:47,046 --pool-2-thread-3-- [com.avalon.ms.schedule.task.service.PrintService] http response 200 
[INFO ] 2017-09-06 16:48:47,047 --pool-2-thread-2-- [com.avalon.ms.schedule.task.service.PrintService] http response content {city:1} 
[INFO ] 2017-09-06 16:48:47,047 --pool-2-thread-4-- [com.avalon.ms.schedule.task.service.PrintService] http response content {city:2} 
[INFO ] 2017-09-06 16:48:47,047 --pool-2-thread-1-- [com.avalon.ms.schedule.task.service.PrintService] http response content {city:0} 
[INFO ] 2017-09-06 16:48:47,047 --pool-2-thread-3-- [com.avalon.ms.schedule.task.service.PrintService] http response content {city:3} 
[INFO ] 2017-09-06 16:48:47,060 --pool-2-thread-2-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/city/code HTTP/1.1 
[INFO ] 2017-09-06 16:48:52,067 --pool-2-thread-2-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-06 16:48:52,067 --pool-2-thread-2-- [com.avalon.ms.schedule.task.service.PrintService] http response 200 
[INFO ] 2017-09-06 16:48:52,068 --pool-2-thread-2-- [com.avalon.ms.schedule.task.service.PrintService] http response content {city:4} 
[INFO ] 2017-09-06 16:48:52,069 --pool-1-thread-1-- [com.avalon.ms.schedule.task.service.PrintService] print task end! 
[INFO ] 2017-09-06 16:49:52,070 --pool-1-thread-1-- [com.avalon.ms.schedule.task.service.PrintService] print task start! size 5 
[INFO ] 2017-09-06 16:49:52,094 --pool-3-thread-2-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/city/code HTTP/1.1 
