[INFO ] 2017-09-19 09:35:12,945 --main-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/city/code HTTP/1.1 
[INFO ] 2017-09-19 10:14:14,379 --main-- [org.springframework.context.support.ClassPathXmlApplicationContext] Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@26653222: startup date [Tue Sep 19 10:14:14 CST 2017]; root of context hierarchy 
[INFO ] 2017-09-19 10:14:14,443 --main-- [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [ApplicationContext.xml] 
[INFO ] 2017-09-19 10:14:15,111 --main-- [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter] Looking for @ControllerAdvice: org.springframework.context.support.ClassPathXmlApplicationContext@26653222: startup date [Tue Sep 19 10:14:14 CST 2017]; root of context hierarchy 
[INFO ] 2017-09-19 10:14:15,153 --main-- [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter] Looking for @ControllerAdvice: org.springframework.context.support.ClassPathXmlApplicationContext@26653222: startup date [Tue Sep 19 10:14:14 CST 2017]; root of context hierarchy 
[INFO ] 2017-09-19 10:14:15,185 --main-- [com.avalon.ms.service.IPSwapService] IPSwapService init tryTimes 4 
[INFO ] 2017-09-19 10:14:15,186 --main-- [com.avalon.ms.service.IPSwapService] IPSwapService instance object hashcode 171493374 
[INFO ] 2017-09-19 10:14:15,207 --main-- [com.avalon.ms.timer.task.RegTask] current thread main regTask ojbect hashcode 252277567 
[INFO ] 2017-09-19 10:14:15,208 --main-- [org.springframework.context.support.ClassPathXmlApplicationContext] Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@e350b40: startup date [Tue Sep 19 10:14:15 CST 2017]; root of context hierarchy 
[INFO ] 2017-09-19 10:14:15,208 --main-- [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [ApplicationContext.xml] 
[INFO ] 2017-09-19 10:14:15,260 --main-- [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter] Looking for @ControllerAdvice: org.springframework.context.support.ClassPathXmlApplicationContext@e350b40: startup date [Tue Sep 19 10:14:15 CST 2017]; root of context hierarchy 
[INFO ] 2017-09-19 10:14:15,264 --main-- [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter] Looking for @ControllerAdvice: org.springframework.context.support.ClassPathXmlApplicationContext@e350b40: startup date [Tue Sep 19 10:14:15 CST 2017]; root of context hierarchy 
[INFO ] 2017-09-19 10:14:15,275 --main-- [com.avalon.ms.service.IPSwapService] IPSwapService init tryTimes 4 
[INFO ] 2017-09-19 10:14:15,275 --main-- [com.avalon.ms.service.IPSwapService] IPSwapService instance object hashcode 212890971 
[INFO ] 2017-09-19 10:14:15,276 --main-- [com.avalon.ms.timer.task.QueryTask] current thread main queryTask ojbect hashcode 856055143 
[INFO ] 2017-09-19 10:14:15,277 --main-- [org.springframework.context.support.ClassPathXmlApplicationContext] Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@742ff096: startup date [Tue Sep 19 10:14:15 CST 2017]; root of context hierarchy 
[INFO ] 2017-09-19 10:14:15,277 --main-- [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [ApplicationContext.xml] 
[INFO ] 2017-09-19 10:14:15,314 --main-- [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter] Looking for @ControllerAdvice: org.springframework.context.support.ClassPathXmlApplicationContext@742ff096: startup date [Tue Sep 19 10:14:15 CST 2017]; root of context hierarchy 
[INFO ] 2017-09-19 10:14:15,322 --main-- [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter] Looking for @ControllerAdvice: org.springframework.context.support.ClassPathXmlApplicationContext@742ff096: startup date [Tue Sep 19 10:14:15 CST 2017]; root of context hierarchy 
[INFO ] 2017-09-19 10:14:15,332 --main-- [com.avalon.ms.service.IPSwapService] IPSwapService init tryTimes 4 
[INFO ] 2017-09-19 10:14:15,332 --main-- [com.avalon.ms.service.IPSwapService] IPSwapService instance object hashcode 1363560175 
[INFO ] 2017-09-19 10:14:15,333 --main-- [com.avalon.ms.timer.task.TransferTask] current thread main transferTask ojbect hashcode 811597470 
[INFO ] 2017-09-19 10:14:15,778 --pool-1-thread-1-- [com.avalon.ms.timer.task.QueryTask] thread pool-1-thread-1 query execute   
[INFO ] 2017-09-19 10:14:15,778 --pool-1-thread-1-- [com.avalon.ms.timer.task.QueryTask] 开启多线程执行查询任务，线程数4 
[INFO ] 2017-09-19 10:14:15,779 --pool-2-thread-1-- [com.avalon.ms.service.IPSwapService]  method query index 0 tryTimes 4 
[INFO ] 2017-09-19 10:14:16,341 --pool-2-thread-1-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/ipswap/query HTTP/1.1 
[INFO ] 2017-09-19 10:14:16,574 --pool-2-thread-1-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-19 10:14:16,574 --pool-2-thread-1-- [com.avalon.ms.service.IPSwapService] thread pool-2-thread-1 try times 3 ipIndex 0 changeFlag false 
[INFO ] 2017-09-19 10:16:06,562 --main-- [org.springframework.context.support.ClassPathXmlApplicationContext] Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@26653222: startup date [Tue Sep 19 10:16:06 CST 2017]; root of context hierarchy 
[INFO ] 2017-09-19 10:16:06,602 --main-- [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [ApplicationContext.xml] 
[INFO ] 2017-09-19 10:16:07,768 --main-- [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter] Looking for @ControllerAdvice: org.springframework.context.support.ClassPathXmlApplicationContext@26653222: startup date [Tue Sep 19 10:16:06 CST 2017]; root of context hierarchy 
